identificador_ativo,matricula_responsavel,setor,data_inicio,data_fim,motivo
RODMQC3E7U,MAT0040,Operacoes,2024-12-27,2026-05-02,Mudanca de setor
RODMQC3E7U,MAT0024,Tecnologia da Informacao,2026-05-02,2026-08-14,
RODMQC3E7U,MAT0042,Recursos Humanos,2026-08-14,,Desligamento do colaborador
NOZNUVR7Z9,MAT0009,Tecnologia da Informacao,2022-11-04,2023-10-31,
NOA4BQYAXA,MAT0046,Comercial,2022-09-26,2023-05-10,
DER49DKTFC,MAT0017,Operacoes,2023-12-09,,Entrega inicial
NO3WW6TQEN,MAT0004,Financeiro,2023-07-21,,Substituicao de equipamento
DE67W4HYP6,MAT0059,Marketing,2020-07-05,2024-07-25,Remanejamento interno
DE67W4HYP6,MAT0043,Comercial,2024-07-25,2026-04-28,
DE67W4HYP6,MAT0048,Tecnologia da Informacao,2026-04-28,,Entrega inicial
NOLVCPWKFR,MAT0040,Operacoes,2024-08-05,,Desligamento do colaborador
SESMB36RG7,MAT0043,Comercial,2026-01-01,2026-05-05,Mudanca de setor
NOQJN3ZFSE,MAT0003,Comercial,2026-05-07,2026-08-19,Mudanca de setor
NOQJN3ZFSE,MAT0017,Operacoes,2026-08-19,2026-09-18,Remanejamento interno
NOQJN3ZFSE,MAT0032,Comercial,2026-09-18,,Substituicao de equipamento
SWJFXHC7DL,MAT0006,Marketing,2022-10-24,2024-09-02,
SWJFXHC7DL,MAT0034,Comercial,2024-09-02,2025-12-19,Mudanca de setor
SWJFXHC7DL,MAT0017,Operacoes,2025-12-19,,Entrega inicial
MO5MYPMTT6,MAT0032,Comercial,2026-06-24,,Substituicao de equipamento
DEU948DFT2,MAT0019,Juridico,2019-04-02,2022-04-14,Remanejamento interno
DEU948DFT2,MAT0054,Diretoria,2022-04-14,,Substituicao de equipamento
DEB2Y89YW2,MAT0058,Operacoes,2025-10-03,,Mudanca de setor
DEBTD8YQLG,MAT0049,Tecnologia da Informacao,2020-01-04,,Mudanca de setor
NODQ2YMMRW,MAT0052,Comercial,2023-08-09,2026-02-25,Entrega inicial
NODQ2YMMRW,MAT0013,Operacoes,2026-02-25,,Mudanca de setor
MOKN9VM9CF,MAT0012,Diretoria,2025-06-20,,Entrega inicial
RO8AXNJXMW,MAT0046,Comercial,2019-11-25,,Desligamento do colaborador
NOHZEZ3GXV,MAT0003,Comercial,2026-01-04,2026-05-27,Substituicao de equipamento
MO9WMYQM2V,MAT0032,Comercial,2026-01-06,2026-06-02,Desligamento do colaborador
MO9WMYQM2V,MAT0008,Comercial,2026-06-02,2026-07-20,Entrega inicial
MO9WMYQM2V,MAT0023,Operacoes,2026-07-20,,Entrega inicial
SM3CMWQG9K,MAT0012,Diretoria,2024-10-20,,Mudanca de setor
SELFX6ASPR,MAT0037,Juridico,2024-10-28,2026-07-19,Mudanca de setor
SELFX6ASPR,MAT0038,Juridico,2026-07-19,,Entrega inicial
TAAD264L49,MAT0012,Diretoria,2024-11-07,,Desligamento do colaborador
NO8QL6ECUB,MAT0050,Juridico,2025-04-27,2026-02-06,
NO8QL6ECUB,MAT0007,Tecnologia da Informacao,2026-02-06,2026-05-31,Entrega inicial
NO8QL6ECUB,MAT0019,Juridico,2026-05-31,,
DEDGXPN4SU,MAT0026,Financeiro,2025-05-23,2025-12-30,Remanejamento interno
DEDGXPN4SU,MAT0060,Marketing,2025-12-30,2026-02-25,Substituicao de equipamento
DEDGXPN4SU,MAT0010,Comercial,2026-02-25,,Entrega inicial
IM9KDZA5FU,MAT0030,Comercial,2025-09-04,,
DEUF8HV389,MAT0043,Comercial,2026-04-08,2026-05-09,Substituicao de equipamento
DEUF8HV389,MAT0003,Comercial,2026-05-09,2026-08-30,Remanejamento interno
DEUF8HV389,MAT0029,Juridico,2026-08-30,2026-09-15,
DEZ2ZM6CS6,MAT0014,Tecnologia da Informacao,2025-04-20,,Entrega inicial
IMDKGFY4QD,MAT0021,Financeiro,2023-11-29,2024-01-26,
IMDKGFY4QD,MAT0005,Financeiro,2024-01-26,2024-09-07,Entrega inicial
SM8R8VF3CK,MAT0016,Marketing,2024-04-25,,Desligamento do colaborador
DENJC5F5NK,MAT0011,Marketing,2024-12-26,,Desligamento do colaborador
NO23WT7A4H,MAT0042,Recursos Humanos,2025-11-29,2026-03-17,Entrega inicial
NO23WT7A4H,MAT0020,Financeiro,2026-03-17,,Desligamento do colaborador
IMGGGUY4S2,MAT0058,Operacoes,2023-08-29,2024-06-22,Substituicao de equipamento
IMGGGUY4S2,MAT0043,Comercial,2024-06-22,,Entrega inicial
DET3K3C3XR,MAT0013,Operacoes,2022-10-06,2025-08-03,Desligamento do colaborador
DET3K3C3XR,MAT0057,Comercial,2025-08-03,,Desligamento do colaborador
MOBXVVT9GQ,MAT0039,Comercial,2020-12-08,,Desligamento do colaborador
TAWT4FN6P4,MAT0052,Comercial,2023-12-03,,Substituicao de equipamento
NOZNTZ73HB,MAT0041,Financeiro,2024-10-03,2026-01-12,Entrega inicial
NOZNTZ73HB,MAT0003,Comercial,2026-01-12,,Remanejamento interno
DE8YYLSFUB,MAT0044,Diretoria,2021-04-03,,Mudanca de setor
TAPQQPT4BA,MAT0060,Marketing,2025-12-24,2026-05-29,Remanejamento interno
TAPQQPT4BA,MAT0041,Financeiro,2026-05-29,,
QSVT3-0Y5SP-5V91G-A8ZUV-G6EXT,MAT0030,Comercial,2025-03-29,,Desligamento do colaborador
VNK9R-D1WJB-7US21-0CNXQ-6Y8VL,MAT0020,Financeiro,2025-10-05,,Mudanca de setor
SMXFQ-YQV2X-ZSU5H-6DE6N-8H09V,MAT0054,Diretoria,2026-05-29,2026-07-29,Remanejamento interno
SMXFQ-YQV2X-ZSU5H-6DE6N-8H09V,MAT0028,Operacoes,2026-07-29,2026-09-06,Remanejamento interno
SMXFQ-YQV2X-ZSU5H-6DE6N-8H09V,MAT0004,Financeiro,2026-09-06,,Remanejamento interno
NX25K-WMF7X-MWDA4-TPLL7-FJ331,MAT0033,Operacoes,2024-02-21,,Entrega inicial
NZAW9-NBARQ-YVJG0-8VLEC-VU599,MAT0007,Tecnologia da Informacao,2024-06-02,,Desligamento do colaborador
7YNL1-BQQJP-B8LHZ-C0SDD-GBDH2,MAT0053,Juridico,2024-09-07,2025-06-23,Substituicao de equipamento
7YNL1-BQQJP-B8LHZ-C0SDD-GBDH2,MAT0017,Operacoes,2025-06-23,,Remanejamento interno
KPAV2-G9TJ2-G8HUH-G7NNS-9NY2U,MAT0002,Operacoes,2026-06-20,,Entrega inicial
6XRAA-FH7KF-8EGSQ-5US5D-GMCUZ,MAT0012,Diretoria,2024-06-03,2026-09-16,Mudanca de setor
6XRAA-FH7KF-8EGSQ-5US5D-GMCUZ,MAT0054,Diretoria,2026-09-16,,Desligamento do colaborador
CAJLX-Y4TFZ-XMH11-5T062-LHJDL,MAT0057,Comercial,2024-07-03,,
4M0YB-J67H2-4CESW-A9QX9-9G3R6,MAT0047,Juridico,2023-03-10,2024-07-17,
DAL86-7LE7W-RXTD8-Q01RF-544F7,MAT0022,Juridico,2024-12-28,,Mudanca de setor
BG12C-AFV8P-5XZDQ-5X6Z4-HGQAX,MAT0048,Tecnologia da Informacao,2023-04-22,,Remanejamento interno
9ZGCL-7J2GS-NNH1P-5NXG2-CH458,MAT0028,Operacoes,2024-01-23,,Remanejamento interno
368MM-JG0W8-02RT1-XU4JJ-28VWP,MAT0008,Comercial,2025-08-01,,Entrega inicial
YJM8W-HY62U-3A9GB-0KDDN-TLUSK,MAT0030,Comercial,2023-01-04,,
CY4GQ-0R8UD-002WD-ASN4Q-ZNNU4,MAT0047,Juridico,2023-02-08,,Desligamento do colaborador
8H0C3-TSJLS-AX5KC-KWDV7-YEW9Q,MAT0024,Tecnologia da Informacao,2023-12-09,,
21FYQ-PXXZU-P96AH-Y4RRC-W0H0S,MAT0052,Comercial,2022-11-01,2024-08-11,Entrega inicial
21FYQ-PXXZU-P96AH-Y4RRC-W0H0S,MAT0009,Tecnologia da Informacao,2024-08-11,,Mudanca de setor
Z8847-CUNW8-FGLAE-PP3GP-3EKB5,MAT0053,Juridico,2026-06-23,,Entrega inicial
SEQS2-0413W-B0HAE-CEY8G-UVFU4,MAT0055,Diretoria,2024-07-26,2024-09-21,Mudanca de setor
SEQS2-0413W-B0HAE-CEY8G-UVFU4,MAT0031,Financeiro,2024-09-21,,
LQJ1U-KVZAK-HCA1F-VPYP2-8KLMQ,MAT0028,Operacoes,2025-04-27,,
D5EUE-SGN7X-YJRGU-ENW74-XVKZW,MAT0013,Operacoes,2025-11-06,2026-01-19,Substituicao de equipamento
D5EUE-SGN7X-YJRGU-ENW74-XVKZW,MAT0050,Juridico,2026-01-19,,Desligamento do colaborador
3TZJX-654YV-7GMFT-JNSEE-B8B1P,MAT0002,Operacoes,2023-10-03,2024-02-29,Mudanca de setor
KZ1QU-J588F-1Z8AR-L8J4L-MK6YC,MAT0032,Comercial,2024-02-03,2025-06-29,Entrega inicial
KZ1QU-J588F-1Z8AR-L8J4L-MK6YC,MAT0056,Operacoes,2025-06-29,2026-03-16,Remanejamento interno
KZ1QU-J588F-1Z8AR-L8J4L-MK6YC,MAT0016,Marketing,2026-03-16,,Mudanca de setor
QCP9Z-065CC-WG9TS-M00ZE-9S0Q9,MAT0004,Financeiro,2024-11-01,,Substituicao de equipamento
6A8J4-LQE8T-PKMLZ-HQ2XH-666PL,MAT0055,Diretoria,2026-08-09,,
LJ8CK-DLSM9-1BUFP-466LQ-2KM8S,MAT0055,Diretoria,2022-11-02,,Desligamento do colaborador
EQ00J-GBN98-2KGM6-C8HF6-JA392,MAT0047,Juridico,2026-07-09,2026-09-12,Substituicao de equipamento
EQ00J-GBN98-2KGM6-C8HF6-JA392,MAT0003,Comercial,2026-09-12,,Desligamento do colaborador
60YG3-JS6QF-U2SNA-A9H9A-0PW2Z,MAT0038,Juridico,2025-12-06,,
S3ZT1-P26MZ-6SVY1-JHQ4L-GP81X,MAT0015,Recursos Humanos,2023-06-04,2023-11-05,Remanejamento interno
S3ZT1-P26MZ-6SVY1-JHQ4L-GP81X,MAT0002,Operacoes,2023-11-05,,Desligamento do colaborador
L0AFK-63FES-QZFC0-19UDM-74AN9,MAT0005,Financeiro,2025-09-06,2025-12-13,
L0AFK-63FES-QZFC0-19UDM-74AN9,MAT0027,Marketing,2025-12-13,2026-02-11,Entrega inicial
9QLCZ-RALFT-1Y11N-9AEFU-YYTQN,MAT0023,Operacoes,2024-08-09,2025-04-25,
28GE8-UXH8S-S406R-X55B6-HSE0Q,MAT0019,Juridico,2024-12-25,,
ASRUF-1XEM6-WYPTM-N7NRR-SPQNR,MAT0023,Operacoes,2024-10-20,,Desligamento do colaborador
AAP0G-WZSMS-RT6XZ-M73P2-ZZ1T4,MAT0038,Juridico,2023-08-27,,
QGTR3-0NKK6-AM27J-9W7VS-D1GLD,MAT0055,Diretoria,2025-05-09,,
4XSZZ-SYB2H-YNMUY-W874F-0U5KL,MAT0057,Comercial,2024-06-24,2025-05-20,
4XSZZ-SYB2H-YNMUY-W874F-0U5KL,MAT0046,Comercial,2025-05-20,,Desligamento do colaborador
EFLXQ-WWUT1-T4Z94-2LMBJ-RSFPL,MAT0048,Tecnologia da Informacao,2026-03-12,2026-07-12,Desligamento do colaborador
EFLXQ-WWUT1-T4Z94-2LMBJ-RSFPL,MAT0052,Comercial,2026-07-12,2026-09-07,Mudanca de setor
EFLXQ-WWUT1-T4Z94-2LMBJ-RSFPL,MAT0040,Operacoes,2026-09-07,2026-09-10,Mudanca de setor
DB19F-GSKF0-VQRU4-JJ9LB-CYW65,MAT0043,Comercial,2025-03-22,,Desligamento do colaborador
