software,numero_serie_ativo,data_vinculo,ativo_vinculo
Atlassian Jira Software,SMUUTGJ4DT,2025-08-31,true
Atlassian Jira Software,SE98UAG5JS,2026-02-17,true
Atlassian Jira Software,NOR2YUUB3T,2026-04-16,true
TeamViewer Corporate,NOQJN3ZFSE,2026-07-14,true
TeamViewer Corporate,SE75GHP56Q,2025-07-07,true
TeamViewer Corporate,MOZ5KR4MLM,2026-07-02,true
TeamViewer Corporate,NOTFVFPKW3,2026-07-28,true
TeamViewer Corporate,MO7Z4K4G94,2026-06-28,true
TeamViewer Corporate,SM69LFBQUC,2026-05-15,true
TeamViewer Corporate,SWGJAL488N,2025-11-06,true
TeamViewer Corporate,TARVC6SYF6,2025-12-11,true
TeamViewer Corporate,DENBKRJ8HP,2025-12-15,true
TeamViewer Corporate,NO5Z7K5MT8,2026-09-20,true
TeamViewer Corporate,DESPXF6ZFN,2026-06-10,true
TeamViewer Corporate,NOKYVX7P8Y,2026-09-14,true
TeamViewer Corporate,DEDRF5H7DV,2026-03-20,true
TeamViewer Corporate,DE6TXVASZR,2025-07-06,true
TeamViewer Corporate,DE8E74N293,2026-04-01,true
TeamViewer Corporate,MOKN9VM9CF,2025-08-18,true
Nitro PDF Pro,IMQ5BTBMTV,2026-05-31,true
Nitro PDF Pro,DE8LFUXFRV,2026-02-16,true
Nitro PDF Pro,MOB28AYV24,2026-09-15,true
Nitro PDF Pro,DE8YYLSFUB,2026-03-31,true
Nitro PDF Pro,NOEUGCXJ2K,2025-10-20,true
Nitro PDF Pro,NOMC4QWR4W,2026-07-14,true
Nitro PDF Pro,TA2WZGFAV6,2025-12-07,true
Nitro PDF Pro,ROA74DNZ96,2026-01-05,true
Nitro PDF Pro,RODMQC3E7U,2026-01-13,true
Nitro PDF Pro,SWB2X3L7JB,2026-09-13,true
Nitro PDF Pro,SMXGCQP8TC,2025-10-16,true
Nitro PDF Pro,RO5HURVHDR,2025-12-20,true
Nitro PDF Pro,DEHLVGBV23,2026-08-22,true
Nitro PDF Pro,SE534UH3BW,2026-04-08,true
Nitro PDF Pro,NOEYRGXJCY,2026-02-20,true
Nitro PDF Pro,IMCMWBPK3E,2026-01-09,true
Nitro PDF Pro,MOLSGHQACA,2026-06-22,true
Nitro PDF Pro,DEJ9FDHKL5,2026-06-27,true
Nitro PDF Pro,TA5MJ2QYE3,2026-04-08,true
Nitro PDF Pro,MOJCVZCYPR,2026-03-11,true
Nitro PDF Pro,DET3K3C3XR,2026-04-24,true
Nitro PDF Pro,IMCENP8PXV,2026-09-02,true
Nitro PDF Pro,IMGGGUY4S2,2026-05-20,true
Nitro PDF Pro,MO362XM99Z,2026-06-17,true
Nitro PDF Pro,ROTJVFLKLX,2026-09-06,true
Nitro PDF Pro,MOF5GR53F3,2026-04-08,true
Nitro PDF Pro,SWJFXHC7DL,2026-04-08,true
Nitro PDF Pro,SMJ86AFBSP,2025-10-26,true
Nitro PDF Pro,SMUUTGJ4DT,2026-06-17,true
Nitro PDF Pro,IM9KDZA5FU,2026-02-11,true
Nitro PDF Pro,NOWWRVKQ4V,2026-06-25,true
Nitro PDF Pro,NO6DYA9JN2,2026-09-11,true
Nitro PDF Pro,MOT4V8EZSR,2025-12-28,true
Nitro PDF Pro,RO8AXNJXMW,2026-09-13,true
Nitro PDF Pro,MOZ5KR4MLM,2026-06-27,true
Nitro PDF Pro,DE2KPE44X7,2026-07-09,true
Nitro PDF Pro,SM6Y6CY5TD,2025-11-08,true
Nitro PDF Pro,TASMGVNKZL,2025-11-26,true
Nitro PDF Pro,MOKN9VM9CF,2026-03-04,true
Nitro PDF Pro,IM2KRCHNB6,2026-07-14,true
Nitro PDF Pro,DEDGXPN4SU,2025-10-17,true
Nitro PDF Pro,IMZ8Y5XY7T,2026-09-18,true
Nitro PDF Pro,IM3EKBFP24,2026-02-22,true
Nitro PDF Pro,NO23WT7A4H,2026-07-12,true
Nitro PDF Pro,MO7D7VB3SA,2026-08-21,true
Nitro PDF Pro,NOWR39KT42,2026-05-31,true
Nitro PDF Pro,SEH4VB8SQD,2026-08-11,true
Nitro PDF Pro,SEPCD3U453,2025-11-29,true
Nitro PDF Pro,MOFRL2LJTV,2026-05-04,true
Nitro PDF Pro,MOGW5WSZK8,2026-09-14,true
Nitro PDF Pro,SMVLTFZSFZ,2026-07-20,true
Nitro PDF Pro,SM69LFBQUC,2026-02-16,true
Nitro PDF Pro,DE2A2S7U59,2025-12-03,true
Nitro PDF Pro,NOG7BHL67A,2026-01-05,true
Nitro PDF Pro,DEU948DFT2,2026-01-09,true
Nitro PDF Pro,SM3CMWQG9K,2025-12-29,true
Nitro PDF Pro,MOEDE8CU4M,2026-08-19,true
Nitro PDF Pro,DENBKRJ8HP,2025-09-24,true
Nitro PDF Pro,SW6EFWKEJT,2026-03-24,true
Nitro PDF Pro,SM8R8VF3CK,2026-07-11,true
Nitro PDF Pro,TAFQCM4MC3,2025-11-11,true
Nitro PDF Pro,DEQ6Z37KYB,2026-09-02,true
Nitro PDF Pro,DEF5GG6LVB,2025-12-04,true
SolarWinds NPM,SMFZEB28C2,2026-07-19,true
SolarWinds NPM,TASP4B9UV8,2025-12-01,true
SolarWinds NPM,SMUUTGJ4DT,2024-12-01,true
SolarWinds NPM,DENJC5F5NK,2025-04-21,true
SolarWinds NPM,DEA468UCQU,2025-03-19,true
SolarWinds NPM,SMSL65AHEK,2025-02-12,true
SolarWinds NPM,TAG5QM7DRH,2026-02-20,true
SolarWinds NPM,NO5FQ6YB4D,2026-04-04,true
SolarWinds NPM,SWGJAL488N,2026-09-07,true
SolarWinds NPM,IMU6H7V3T9,2026-09-07,true
SolarWinds NPM,SEPS9SDF5T,2026-09-03,true
SolarWinds NPM,NO5J7MDS2W,2024-12-13,true
SolarWinds NPM,SENHC4BRPE,2026-07-13,true
SolarWinds NPM,DE7HS9W23H,2026-06-29,true
SolarWinds NPM,SMF5ZBZVMP,2026-06-29,true
SolarWinds NPM,TA2WZGFAV6,2026-07-24,true
SolarWinds NPM,NODU24RLWW,2026-03-09,true
SolarWinds NPM,DEWHMNP8TU,2026-08-10,true
SolarWinds NPM,IMFGRYLC3X,2026-08-29,true
SolarWinds NPM,NOTFVFPKW3,2025-02-24,true
SolarWinds NPM,NOBM92HSS6,2026-07-20,true
SolarWinds NPM,SM3ZF3ASH7,2025-05-24,true
SolarWinds NPM,DE2A2S7U59,2026-03-04,true
SolarWinds NPM,DEZ2ZM6CS6,2026-08-28,true
SolarWinds NPM,MOTLS8UXH7,2026-06-30,true
SolarWinds NPM,SM6Y6CY5TD,2025-09-21,true
SolarWinds NPM,DE6TXVASZR,2026-06-28,true
SolarWinds NPM,SW4TPHY5HU,2025-03-28,true
SolarWinds NPM,NOG7BHL67A,2025-10-09,true
SolarWinds NPM,DE564GBFYF,2025-10-19,true
SolarWinds NPM,SMQSN5HQKT,2026-05-06,true
SolarWinds NPM,DEVFJWHRVH,2026-05-24,true
SolarWinds NPM,RODMQC3E7U,2025-06-27,true
SolarWinds NPM,TAPQQPT4BA,2026-07-15,true
SolarWinds NPM,SMVLTFZSFZ,2026-09-01,true
SolarWinds NPM,TARVC6SYF6,2024-12-10,true
SolarWinds NPM,MO4J25M9ML,2026-03-30,true
SolarWinds NPM,DE8LFUXFRV,2026-05-31,true
SolarWinds NPM,SEYS8NRTVQ,2026-08-23,true
SolarWinds NPM,DEDGXPN4SU,2026-06-25,true
SolarWinds NPM,NOEYRGXJCY,2026-05-16,true
SolarWinds NPM,SW6EFWKEJT,2026-04-04,true
SolarWinds NPM,DEQ6Z37KYB,2025-01-24,true
SolarWinds NPM,NO3WW6TQEN,2026-05-05,true
Oracle Database Standard,SM8R8VF3CK,2025-07-25,true
Oracle Database Standard,IM3WBT69QY,2025-10-18,true
Oracle Database Standard,IMCENP8PXV,2026-06-22,true
Oracle Database Standard,DE3UDR92HR,2025-07-18,true
Oracle Database Standard,NO8QL6ECUB,2025-10-22,true
Oracle Database Standard,NODQ2YMMRW,2025-09-20,true
Red Hat Enterprise Linux,ROSAHTXHU5,2024-07-25,true
Red Hat Enterprise Linux,RODCEDA4JQ,2024-09-14,true
Red Hat Enterprise Linux,NONZUE26TH,2026-03-23,true
Red Hat Enterprise Linux,RO8AXNJXMW,2025-11-20,true
Red Hat Enterprise Linux,SE534UH3BW,2025-04-21,true
Red Hat Enterprise Linux,DENBKRJ8HP,2025-06-27,true
Red Hat Enterprise Linux,SE3JV7WEA7,2026-09-06,true
Red Hat Enterprise Linux,DEHLVGBV23,2026-06-02,true
Red Hat Enterprise Linux,IMCMWBPK3E,2026-05-24,true
Red Hat Enterprise Linux,DE4CW822K9,2025-12-20,true
Red Hat Enterprise Linux,DEVFJWHRVH,2025-06-01,true
Red Hat Enterprise Linux,IMDKKVFRH4,2025-04-23,true
Red Hat Enterprise Linux,DE8LFUXFRV,2025-09-12,true
Red Hat Enterprise Linux,ROUB5MGGKR,2025-12-03,true
Red Hat Enterprise Linux,MO7Z4K4G94,2026-07-27,true
Red Hat Enterprise Linux,IMGGGUY4S2,2026-04-25,true
Red Hat Enterprise Linux,SWFGJ3ED5J,2026-08-20,true
Bitdefender GravityZone,SE98UAG5JS,2026-06-18,true
Bitdefender GravityZone,DE9PYSXTTA,2026-08-22,true
Bitdefender GravityZone,IMCMWBPK3E,2026-09-07,true
Bitdefender GravityZone,DE6TXVASZR,2026-04-06,true
Bitdefender GravityZone,SMVLTFZSFZ,2026-08-16,true
Bitdefender GravityZone,SE534UH3BW,2026-02-08,true
Bitdefender GravityZone,NOWWRVKQ4V,2026-08-12,true
Docusign Business Pro,NO8QL6ECUB,2026-05-15,true
Docusign Business Pro,SEJYERZUL6,2026-02-14,true
Docusign Business Pro,NO9UQYQNSJ,2024-10-04,true
Docusign Business Pro,DE3HRCF4WS,2025-06-03,true
Docusign Business Pro,ROA74DNZ96,2026-03-10,true
Docusign Business Pro,SWR896BFUQ,2024-07-14,true
Docusign Business Pro,TAWFDKLDFT,2025-01-05,true
Docusign Business Pro,DEZ2ZM6CS6,2026-06-29,true
Docusign Business Pro,DEF5GG6LVB,2025-05-15,true
Docusign Business Pro,NO5Z7K5MT8,2025-11-19,true
Docusign Business Pro,MOT4V8EZSR,2024-11-14,true
Docusign Business Pro,SWXS997LYL,2024-07-01,true
Docusign Business Pro,NO23WT7A4H,2026-04-06,true
Docusign Business Pro,TA2WZGFAV6,2025-10-03,true
Docusign Business Pro,NO5FQ6YB4D,2026-04-21,true
Docusign Business Pro,SE75GHP56Q,2025-12-06,true
Docusign Business Pro,DEHLVGBV23,2026-09-11,true
Docusign Business Pro,SMAL9YSLZJ,2026-02-22,true
Docusign Business Pro,SM52E6834C,2026-02-12,true
Docusign Business Pro,ROTJVFLKLX,2026-09-10,true
Docusign Business Pro,SEBHSMSCG5,2025-09-25,true
Docusign Business Pro,TAKBS4UKNX,2026-05-01,true
Docusign Business Pro,MO7Z4K4G94,2026-07-10,true
Docusign Business Pro,SW6RZGZYD3,2026-03-22,true
Tableau Creator,SEL2LEFX8B,2026-09-20,true
Tableau Creator,DEVAJTCDUJ,2026-03-18,true
Tableau Creator,SE534UH3BW,2026-08-08,true
Tableau Creator,DEBTD8YQLG,2026-09-13,true
Tableau Creator,NODU24RLWW,2026-02-20,true
Tableau Creator,NOEYRGXJCY,2026-03-05,true
Tableau Creator,DEGG5Y547D,2026-07-26,true
Tableau Creator,MOT4V8EZSR,2026-07-25,true
Tableau Creator,IM2ZGQ8BWQ,2026-09-01,true
Tableau Creator,SEBHSMSCG5,2026-04-08,true
Tableau Creator,ROG6QCV7BD,2026-06-19,true
Tableau Creator,DENBKRJ8HP,2026-08-18,true
Tableau Creator,DESPXF6ZFN,2026-08-14,true
Tableau Creator,MOB28AYV24,2026-05-25,true
Tableau Creator,DE5P9TWUXJ,2026-02-13,true
Tableau Creator,TAKBS4UKNX,2026-06-04,true
Tableau Creator,DEHJE6M6FW,2026-04-19,true
Tableau Creator,IMKRLM4BMX,2026-07-18,true
Tableau Creator,SMDXEXG2US,2026-06-15,true
Tableau Creator,SWWEVCHBXG,2026-08-29,true
Tableau Creator,DE8LFUXFRV,2026-04-02,true
Tableau Creator,NOZQBWGXKJ,2026-06-10,true
Tableau Creator,NOYV3JFV2X,2026-03-30,true
Tableau Creator,DEU948DFT2,2026-06-24,true
Tableau Creator,SM8R8VF3CK,2026-02-14,true
Tableau Creator,IMZ8Y5XY7T,2026-09-06,true
Tableau Creator,SMR9KQ7S7S,2026-02-01,true
Tableau Creator,SW6EFWKEJT,2026-03-04,true
Tableau Creator,TASMGVNKZL,2026-04-11,true
Tableau Creator,ROW656L86S,2026-09-19,true
Tableau Creator,SMFZEB28C2,2026-07-31,true
Tableau Creator,MOZ5KR4MLM,2026-04-29,true
Tableau Creator,DE67W4HYP6,2026-03-07,true
SAP Crystal Reports,NOL6C4ZR6U,2026-04-06,true
SAP Crystal Reports,SM3CMWQG9K,2026-06-12,true
SAP Crystal Reports,NOMC4QWR4W,2026-06-27,true
SAP Crystal Reports,SMUUTGJ4DT,2024-07-13,true
SAP Crystal Reports,DEBTD8YQLG,2026-06-01,true
SAP Crystal Reports,DESPXF6ZFN,2026-04-03,true
SAP Crystal Reports,SWXS997LYL,2026-05-14,true
SAP Crystal Reports,DE564GBFYF,2025-05-02,true
SAP Crystal Reports,NOBM92HSS6,2026-04-14,true
SAP Crystal Reports,TAFQCM4MC3,2026-07-28,true
SAP Crystal Reports,TA2WZGFAV6,2026-05-22,true
SAP Crystal Reports,DEHLVGBV23,2026-08-15,true
SAP Crystal Reports,SW6RZGZYD3,2025-11-21,true
SAP Crystal Reports,TASMGVNKZL,2025-08-12,true
SAP Crystal Reports,DE5P9TWUXJ,2025-11-17,true
SAP Crystal Reports,SENHC4BRPE,2026-08-15,true
SAP Crystal Reports,DE3UDR92HR,2025-09-11,true
SAP Crystal Reports,DEVAJTCDUJ,2026-06-28,true
SAP Crystal Reports,MO4J25M9ML,2025-12-10,true
SAP Crystal Reports,DEZ2ZM6CS6,2026-01-27,true
SAP Crystal Reports,SWR896BFUQ,2025-08-01,true
SAP Crystal Reports,SMFZEB28C2,2025-12-10,true
Figma Organization,DE3DAPVPJS,2026-09-06,true
Figma Organization,NOKYVX7P8Y,2026-08-26,true
Figma Organization,MOBXVVT9GQ,2026-02-27,true
Figma Organization,DE8LFUXFRV,2026-08-22,true
Figma Organization,TAPQQPT4BA,2026-08-31,true
Figma Organization,DEHJE6M6FW,2026-09-09,true
Figma Organization,SWJFXHC7DL,2026-09-18,true
Figma Organization,SE534UH3BW,2026-02-21,true
Figma Organization,NO23WT7A4H,2026-07-15,true
Figma Organization,DE8E74N293,2025-12-27,true
Figma Organization,DE8YYLSFUB,2026-03-27,true
Figma Organization,IMH2NSC5AN,2025-12-23,true
Figma Organization,SEBHSMSCG5,2026-07-25,true
Figma Organization,SMAL9YSLZJ,2026-09-19,true
Figma Organization,MOTLS8UXH7,2026-06-14,true
Figma Organization,DENJC5F5NK,2026-04-24,true
Figma Organization,SE5VDGPPSF,2026-09-16,true
Figma Organization,IMCMWBPK3E,2026-01-10,true
Figma Organization,SMSL65AHEK,2026-08-06,true
Figma Organization,SEWHVV4W3U,2026-03-16,true
Figma Organization,RODMQC3E7U,2026-09-14,true
Figma Organization,IMVYGPK8QG,2026-04-14,true
Figma Organization,SWXS997LYL,2026-03-19,true
Figma Organization,DE3VHUZQQJ,2026-01-27,true
Figma Organization,TASMGVNKZL,2026-06-25,true
Figma Organization,ROTJVFLKLX,2026-09-11,true
Figma Organization,SMUUTGJ4DT,2026-02-26,true
Notion Business,SENHC4BRPE,2026-08-28,true
Notion Business,SED8ZGHUFL,2026-06-25,true
Notion Business,SEPS9SDF5T,2026-09-14,true
Notion Business,ROTJVFLKLX,2026-08-02,true
Notion Business,DE3VHUZQQJ,2026-04-25,true
Notion Business,NOEYRGXJCY,2026-09-09,true
Notion Business,DEA468UCQU,2026-05-01,true
Notion Business,NOH9BRKU5A,2026-07-16,true
Notion Business,MOB28AYV24,2024-12-26,true
Notion Business,SMF5ZBZVMP,2026-03-09,true
Notion Business,SMUUTGJ4DT,2026-08-14,true
Notion Business,IM2ZGQ8BWQ,2026-04-03,true
Notion Business,IM9KDZA5FU,2025-09-18,true
Notion Business,NO8RP3RWU2,2025-11-19,true
Notion Business,NOQJN3ZFSE,2026-04-21,true
Notion Business,NO5J7MDS2W,2026-08-12,true
Notion Business,IMQ5BTBMTV,2026-03-06,true
Notion Business,TAWFDKLDFT,2025-10-22,true
Notion Business,NOAVGXU79J,2026-01-19,true
Notion Business,IM3EKBFP24,2025-11-17,true
Notion Business,NOPBDXRJPE,2025-03-09,true
Notion Business,SE3FX2W9CE,2024-11-25,true
Notion Business,DEJ9FDHKL5,2025-11-13,true
